ItemNum,Description,ScheduleFee
49809,"Open tenotomy or lengthening of foot, by open incision, with or without tenoplasty, including either or both of the following (if performed): (a) synovial biopsy; (b) synovectomy; —one toe (Anaes.) (Assist.)",246.65
49812,"Advancement of tendon or ligament transfer of foot, including: (a) side to side transfer, harvesting and transfer for ligament or minor foot tendon reconstruction; and (b) either or both of the following (if performed): (i) synovial biopsy; (ii) synovectomy; —one major tendon or toe (H) (Anaes.) (Assist.)",493.25
49814,"Reconstruction of major tendon of ankle, by any method, including: (a) osteotomy of hindfoot, with internal fixation; and (b) lengthening of major tendon of ankle; and (c) any of the following (if performed): (i) synovial biopsy; (ii) synovectomy; (iii) adjacent tendon transfer; (iv) turn down flaps; other than a service associated with a service to which item 49718 applies (H) (Anaes.) (Assist.)",1126.3
49815,"Triple arthrodesis of hindfoot joints, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints (H) (Anaes.) (Assist.)",1562.25
49818,"Release of plantar fascia, including excision of calcaneal spur (if performed) (H) (Anaes.) (Assist.)",310.95
49821,"Excisional or interpositional arthroplasty of metatarsophalangeal or tarsometatarsal joint, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) local tendon transfer; (e) joint debridement —one joint (H) (Anaes.) (Assist.)",493.25
49837,"Unilateral correction of hallux valgus or varus deformity of the foot, by osteotomy of first metatarsal, with internal fixation, including any of the following (if performed): (a) exostectomy; (b) removal of bursae; (c) synovectomy; (d) capsule repair; (e) capsule or tendon release or transfer (H) (Anaes.) (Assist.)",737.4
49838,"Bilateral correction of hallux valgus or varus deformity of the foot by osteotomy of first metatarsal, with internal fixation or arthrodesis of first metatarsophalangeal joint, including any of the following (if performed): (a) exostectomy; (b) removal of bursae; (c) synovectomy; (d) capsule repair; (e) capsule or tendon release or transfer (H) (Anaes.) (Assist.)",1273.35
49845,"Unilateral arthrodesis of first metatarsophalangeal joint, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints (H) (Anaes.) (Assist.)",737.4
49851,"Arthrodesis, osteotomy or interpositional arthroplasty of proximal or distal (or both) joints of lesser toe, including any of the following (if performed): (a) internal fixation, by any method; (b) capsulotomy; (c) tendon lengthening; (d) joint release; (e) synovectomy; (f) removal of osteophytes at joints; —one toe (H) (Anaes.) (Assist.)",493.25
49866,"Excision of intermetatarsal or digital neuroma, including any of the following (if performed): (a) release of metatarsal or digital ligament; (b) excision of bursae; (c) neurolysis; other than a service associated with a service to which item 30023 applies that is performed at the same site—one web space (H) (Anaes.) (Assist.)",342.95
49881,"Complete excision of one or more ganglia or bursae: (a) including excision of bony prominence or mucinous cyst of interphalangeal or metatarsophalangeal joint and surrounding tissues; and (b) including any of the following (if performed): (i) arthrotomy; (ii) synovectomy; (iii) osteophyte resections; (iv) neurolysis; (v) skin closure, by any local method; other than a service associated with a service to which item 30023 applies that is performed at the same site—each incision (H) (Anaes.) (Assist.)",250.5
49884,"Complete excision of one or more ganglia or bursae: (a) including excision of bony prominence or mucinous cyst of ankle, hindoot or midfoot joint and surrounding tissues; and (b) including any of the following (if performed): (i) arthrotomy; (ii) synovectomy; (iii) osteophyte resections; (iv) neurolysis; (v) capsular or ligament repair; (vi) skin closure, by any method; other than a service associated with a service to which item 30023 applies that is performed at the same site—each incision (H) (Anaes.) (Assist.)",423.25
50112,"Cicatricial flexion or extension contraction of joint, correction of, involving tissues deeper than skin and subcutaneous tissue, other than a service to which another item in this Group applies (H) (Anaes.) (Assist.)",411.35
50115,"Manipulation of one or more joints, excluding spine, other than a service associated with a service to which another item in this Group applies (H) (Anaes.)",162.95
50118,"Arthrodesis of joint of hindfoot, by any method, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints; —one joint (H) (Anaes.) (Assist.)",892.65
50201,"Incisional biopsy of aggressive or potentially malignant bone or soft tissue tumour, excluding aftercare (Anaes.) (Assist.)",375.35
50203,Intralesional or marginal excision of bone or soft tissue tumour (Anaes.) (Assist.),471.9
50206,"Intralesional or marginal excision of bone tumour, with at least one of the following: (a) autograft; (b) allograft; (c) cementation (H) (Anaes.) (Assist.)",697.2
50212,"Wide excision of malignant or aggressive bone or soft tissue tumour (or both), affecting a limb, trunk or scapula (H) (Anaes.) (Assist.)",1876.9
50218,"Wide excision of malignant or aggressive bone or soft tissue tumour (or both), with reconstruction, replacement or arthrodesis of adjacent joint, by prosthesis, allograft or autograft (H) (Anaes.) (Assist.)",3110.45
50312,"Synovectomy or debridement, and microfracture, of ankle joint for osteochondral large defect greater than 1.5cm2, by arthroscopic or open means, including any of the following (if performed): (a) capsulotomy; (b) debridement or release of ligament; (c) debridement or release of tendon; other than a service associated with a service to which any of the following apply: (d) item 49703; (e) another item in this Schedule if the service described in the other item is for the purpose of performing an arthroscopic procedure of the ankle (H) (Anaes.) (Assist.)",856.95
50333,"Excision of tarsal coalition, with interposition of muscle, fat graft or similar graft, including any of the following (if performed): (a) capsulotomy; (b) synovectomy; (c) excision of osteophytes; —one coalition (H) (Anaes.) (Assist.)",702.65
50394,"Multiple peri-acetabular osteotomy, including internal fixation (if performed) (H) (Anaes.) (Assist.)",3164.05
50426,"Removal of one or more lesions from bone, for osteochondroma occurring solitary or in association with hereditary multiple exotoses, with histological examination—one approach (H) (Anaes.) (Assist.)",529.3
50508,"Treatment of fracture of distal end of radius or ulna (or both), by closed reduction, for a patient with open growth plates (Anaes.)",450.2
50512,"Treatment of fracture of distal end of radius or ulna (or both), by open or closed reduction, with internal fixation, for a patient with open growth plates (H) (Anaes.) (Assist.)",600.75
50532,"Treatment of fracture of shafts of radius or ulna (or both), by closed reduction, for a patient with open growth plate (H) (Anaes.)",653.2
50536,"Treatment of fracture of shafts of radius or ulna (or both), by open or closed reduction, with internal fixation, for a patient with open growth plate (H) (Anaes.) (Assist.)",870.9
50572,"Humerus, with open growth plate, supracondylar or condylar, treatment of fracture of, by reduction with or without internal fixation by open or percutaneous means (H) (Anaes.) (Assist.)",840.9
50584,"Tibia, distal, with open growth plate, treatment of fracture of, by reduction with or without internal fixation by open or percutaneous means (H) (Anaes.) (Assist.)",690.6
50608,"Scoliosis or kyphosis, in a child or adolescent, treatment by segmental instrumentation and fusion of the spine, other than a service to which any of items 51011 to 51171 apply (H) (Anaes.) (Assist.)",3904.05
51011,"Direct spinal decompression or exposure (via a partial or a total laminectomy or a partial vertebrectomy), or a posterior spinal release, one motion segment, not being a service associated with a service to which item 51012, 51013, 51014 or 51015 applies (H) (Anaes.) (Assist.)",1635.35
